section,name,size,price_lei,description,allergens,nutrition
"Burgeri & Quesadilla","Burger pui","350 g","45","Chiflă, șnițel de pui, cheddar, salată, castraveți murați, cartofi prăjiți, sos Coco Jar, salată coleslaw.","Gluten, ouă, lapte, muștar","1260 kcal | G 59 | AGS 18 | C 79 | Z 7 | P 54 | S 4,5"
"Burgeri & Quesadilla","Burger pulled pork","350 g","47","Chiflă, pulled pork, ceapă rumenită, salată, roșii, castraveți murați, cartofi prăjiți, sos Coco Jar, salată coleslaw.","Gluten, muștar, ouă","1240 kcal | G 61 | AGS 18 | C 83 | Z 11 | P 49 | S 4,7"
"Burgeri & Quesadilla","Quesadilla","400 g","44","Lipie, mozzarella, cheddar, ceapă, ardei capia, bacon, pui, cartofi prăjiți, sos Coco Jar, sos jalapeños.","Gluten, lapte, ouă, muștar","— kcal | G 52 | AGS 18 | C 68 | Z 6 | P 47 | S 4,1"
"Preparate din pui","Specialitatea casei - cocoșel Coco Jar","100 g","6","Cocoșel, condimente, usturoi, unt, verdeață, ulei.","Lapte","210 kcal | G 10 | AGS 2,5 | C 3 | Z 1 | P 27 | S 1,2"
"Preparate din pui","Pui în sos gorgonzola","400 g","42","Piept de pui, sos alb, gorgonzola, mozzarella, cheddar, cartofi la cuptor cu rozmarin.","Lapte","310 kcal | G 18 | AGS 9 | C 24 | Z 2 | P 28 | S 1,6"
"Preparate din pui","Thai chicken","450 g","47","Piept de pui, ardei, morcov, ceapă, sos de soia, ulei de susan, orez, susan, sos sweet chilli, urechi de lemn.","Soia, susan","185 kcal | G 7 | AGS 1,2 | C 12 | Z 3 | P 20 | S 1,4"
"Preparate din pui","Șnițel de pui în crustă de semințe","250 g","32","Piept de pui, panko, mix de semințe, ou, făină, smântână.","Gluten, ouă, susan, lapte","290 kcal | G 16 | AGS 3 | C 15 | Z 1 | P 22 | S 1,3"
"Preparate din pui","Tigaie picantă de pui","350 g","41","Piept de pui, ceapă roșie, ardei capia, ciuperci, roșii, ardei iute, sos de roșii, usturoi.","Nu conține alergeni declarați","170 kcal | G 6 | AGS 1,2 | C 8 | Z 4 | P 22 | S 1,3"
"Preparate din pui","Pui crispy în crustă de semințe","250 g","32","Piept de pui, panko, mix de semințe, ou, făină, smântână.","Gluten, ouă, susan, lapte","300 kcal | G 17 | AGS 3 | C 17 | Z 1 | P 22 | S 1,4"
"Preparate din pui","Pollo alla parmigiana","400 g","40","Șnițel de pui, sos de roșii, mozzarella, parmezan, pătrunjel, cartofi prăjiți.","Gluten, ouă, lapte","225 kcal | G 14 | AGS 6 | C 10 | Z 2 | P 24 | S 1,2"
"Preparate din pui","Aripioare crispy","250 g","30","Aripioare de pui, pesmet, ou, făină.","Gluten, ouă","320 kcal | G 20 | AGS 5 | C 14 | Z 0,5 | P 21 | S 1,2"
"Preparate din pui","Pui cu smântână și ciuperci","450 g","40","Piept de pui, ciuperci, smântână pentru gătit, usturoi, vin alb, sare, piper, cartofi la cuptor cu rozmarin.","Lapte, sulfiți","160 kcal | G 9 | AGS 4,5 | C 10 | Z 1,5 | P 11 | S 0,8"
"Preparate din porc","Tomahawk de porc","500 g","55","Tomahawk de porc, sos de cimbru, sare, piper. Garnitură: cartofi la cuptor cu rozmarin.","Lapte","980 kJ / 234 kcal | G 15 | AGS 5 | C 6 | Z 2 | P 20 | S 1,3"
"Preparate din porc","Tigaie picantă de porc","350 g","41","Ceafă de porc, ardei capia, ceapă roșie, ciuperci, ardei iute, roșii, sos roșu, usturoi, vin, sare, piper.","Sulfiți (vin)","720 kJ / 172 kcal | G 15 | AGS 5 | C 6 | Z 2 | P 20 | S 1,3"
"Preparate din porc","Tochitură moldovenească","450 g","41","Ceafă de porc, cârnat, ou, brânză, sos de roșii, mămăligă, usturoi, sare, piper.","Ouă, lapte","990 kJ / 236 kcal | G 15 | AGS 5 | C 6 | Z 2 | P 20 | S 1,3"
"Preparate din porc","Pomana porcului","400 g","41","Ceafă de porc, vin, usturoi, sare, piper, pătrunjel, mămăligă.","Sulfiți (vin)","930 kJ / 222 kcal | G 15 | AGS 5 | C 6 | Z 2 | P 20 | S 1,3"
"Preparate din porc","Ciolan Coco Jar","700 g","59","Ciolan de porc, sos alb, usturoi, sare, piper. Garnitură: cartofi la cuptor cu rozmarin.","Lapte","1040 kJ / 248 kcal | G 16 | AGS 5 | C 6 | Z 2 | P 20 | S 1,3"
"Preparate din porc","Coaste de porc","650 g","69","Coaste de porc, sos barbecue, sare, piper, mix de condimente, bere. Garnitură: cartofi prăjiți și salată coleslaw.","Muștar, sulfiți (bere)","1210 kJ / 289 kcal | G 15 | AGS 5 | C 6 | Z 2 | P 20 | S 1,3"
"Preparate din vită","T-bone steak dry age","350 g","95","T-bone de vită, sare, unt, rozmarin, usturoi.","Lapte","260 kcal | G 16 | AGS 6 | C 1 | Z 1 | P 25 | S 1,4"
"Preparate din vită","Mușchi de vită cu sos de piper verde","250 g","95","Mușchi de vită, sos alb, piper verde.","Lapte","245 kcal | G 15 | AGS 6 | C 3 | Z 1 | P 25 | S 1,4"
"Preparate din vită","Antricot de vită Black Angus Uruguay","300 g","128","Antricot de vită, sare, unt, rozmarin, usturoi.","Lapte","260 kcal | G 18 | AGS 8 | C 2 | Z 1 | P 24 | S 1,3"
"Preparate din vită","Thai beef","450 g","59","Vită, ardei, morcov, ceapă, sos de soia, ulei de susan, orez, susan, sos sweet chilli, ghimbir, urechi de lemn.","Soia, susan","195 kcal | G 8 | AGS 2 | C 12 | Z 3 | P 21 | S 1,4"
"Preparate la grătar","Mici","70 g","6","Carne de vită, carne de porc, bicarbonat de sodiu, usturoi, sare, piper, cimbru, boia, coriandru.","Fără alergeni declarați","1180 kJ / 282 kcal | G 23 | AGS 8,5 | C 3 | Z 1 | P 17 | S 1,9"
"Preparate la grătar","Ceafă de porc","250 g","34","Ceafă de porc, ulei, sare, piper, cimbru.","Fără alergeni","1240 kJ / 296 kcal | G 24 | AGS 8 | C 0 | Z 0 | P 22 | S 1,2"
"Preparate la grătar","Piept de pui","250 g","28","Piept de pui, ulei, sare, piper, cimbru.","Fără alergeni","690 kJ / 165 kcal | G 3,6 | AGS 1 | C 0 | Z 0 | P 31 | S 1,1"
"Preparate la grătar","Pulpă de pui dezosată","250 g","28","Pulpă de pui dezosată, ulei, sare, piper, cimbru.","Fără alergeni","870 kJ / 208 kcal | G 12 | AGS 3,2 | C 0 | Z 0 | P 26 | S 1,1"
"Preparate la grătar","Frigarui de pui","250 g","31","Piept de pui, ardei, ceapă, ciuperci, ulei, sare, piper.","Fără alergeni","510 kJ / 122 kcal | G 6 | AGS 1,5 | C 3 | Z 2 | P 28 | S 1,1"
"Preparate la grătar","Frigarui de porc","250 g","31","Ceafă de porc, bacon, ardei, ceapă, ulei, sare, piper.","Fără alergeni","920 kJ / 220 kcal | G 10 | AGS 3 | C 3 | Z 2 | P 28 | S 1,2"
"Preparate la grătar","Pastramă de oaie","250 g","46","Pastramă de oaie, ulei, usturoi, sare, piper, cimbru, mămăligă.","Fără alergeni","1080 kJ / 258 kcal | G 17 | AGS 6 | C 12 | Z 1 | P 25 | S 1,4"
"Preparate la grătar","Cotlet de berbecuț","250 g","59","Cotlet de berbecuț, ulei, usturoi, sare, piper, cimbru. Garnitură: cartofi la cuptor cu rozmarin.","Fără alergeni","1010 kJ / 241 kcal | G 15 | AGS 6 | C 12 | Z 1 | P 26 | S 1,2"
"Fructe de mare","Creveți în sos de vin","300 g","47","Creveți, vin alb, unt, roșii, usturoi, pătrunjel, sare, piper, pâine prăjită.","Crustacee, lapte, sulfiți, gluten","150 kcal | G 8 | AGS 2 | C 4 | Z 1 | P 18 | S 1,2"
"Fructe de mare","Creveți în sos de unt","300 g","49","Creveți, vin alb, unt, roșii, usturoi, pătrunjel, sare, piper, pâine prăjită.","Crustacee, lapte, sulfiți, gluten","150 kcal | G 8 | AGS 2 | C 4 | Z 1 | P 18 | S 1,2"
"Fructe de mare","Creveți diavola","300 g","47","Creveți, sos roșu, ardei iute, usturoi, pătrunjel, sare, piper, pâine prăjită.","Crustacee, gluten","150 kcal | G 8 | AGS 2 | C 4 | Z 1 | P 18 | S 1,2"
"Fructe de mare","Midii în sos de vin","400 g","51","Midii, vin alb, unt, usturoi, roșii, pătrunjel, sare, piper.","Moluște, lapte, sulfiți","130 kcal | G 5 | AGS 1,5 | C 6 | Z 1 | P 16 | S 1,1"
"Fructe de mare","Midii în sos de roșu picant","400 g","51","Midii, sos roșu, usturoi, ardei iute, sare, piper.","Moluște","130 kcal | G 4 | AGS 1 | C 6 | Z 1 | P 16 | S 1,1"
"Fructe de mare","Panko seafood","250 g","57","Creveți crispy, inele de calamar crispy, lămâie, sos aioli, sos Sweet Chilli.","Crustacee, moluște, gluten, ouă, lapte, soia","210 kcal | G 12 | AGS 2 | C 14 | Z 2 | P 17 | S 1,3"
"Salate","Salată de roșii","150 g","13","Roșii, ulei, sare.","Nu conține alergeni declarați","70 kcal | G 4,5 | AGS 0,7 | C 6 | Z 4 | P 1,5 | S 1"
"Salate","Salată mixtă","150 g","15","Roșii, castraveți, ardei capia, ceapă roșie, ulei, sare.","Nu conține alergeni declarați","70 kcal | G 4,5 | AGS 0,7 | C 6 | Z 4 | P 1,5 | S 1"
"Salate","Salată murături mix","150 g","14","Gogoșari, castraveți murați, gogonele, sare.","Poate conține urme de muștar","70 kcal | G 4,5 | AGS 0,7 | C 6 | Z 4 | P 1,5 | S 1"
"Salate","Salată de varză","150 g","11","Varză albă, morcov, ulei, oțet, sare, mărar.","Sulfiți (oțet)","70 kcal | G 4,5 | AGS 0,7 | C 6 | Z 4 | P 1,5 | S 1"
"Salate","Salată de sfeclă cu hrean","150 g","14","Sfeclă, hrean.","Sulfiți, dacă sfecla este conservată cu oțet","70 kcal | G 4,5 | AGS 0,7 | C 6 | Z 4 | P 1,5 | S 1"
"Salate","Salată de ardei copți","150 g","14","Ardei copți, oțet, usturoi, ulei, sare.","Sulfiți","70 kcal | G 4,5 | AGS 0,7 | C 6 | Z 4 | P 1,5 | S 1"
"Salate","Salată coleslaw","150 g","15","Varză albă, morcov, ceapă roșie, pătrunjel, maioneză, sare, piper.","Ouă, muștar","70 kcal | G 4,5 | AGS 0,7 | C 6 | Z 4 | P 1,5 | S 1"
"Platouri","Platou mix grill - 1 persoană","550 g","55","Ceafă de porc, pulpă de pui, mici, muștar, cartofi, murături, crustă de parmezan.","Muștar, lapte","-"
"Platouri","Platou românesc - 2/3 persoane","1,4 kg","145","Ceafă, pulpă de pui, mici, cârnați, cartofi cu usturoi și parmezan, muștar, murături.","Muștar, lapte","-"
"Platouri","Platou family - 3/4 persoane","1,6 kg","165","Ceafă, pulpă dezosată, pui crispy, aripioare crispy, mici, frigărui de pui și porc, cartofi cu usturoi și parmezan, muștar, murături.","Gluten, ouă, lapte, muștar","-"
"Platouri","Platou Gurmandului - 4/5 persoane","2,8 kg","255","Ceafă, pastramă de berbecuț, pulpă de pui, cârnați, mici, frigărui de pui și porc, cartofi cu usturoi și parmezan, muștar, murături.","Muștar, lapte","-"
"Platouri","Platou Coco Jar (aproximativ 25 persoane)","9,5 kg","1200","Ceafă, cocoșel, coaste, pastramă, mici, cârnăciori, frigărui de pui și porc, cartofi cu telemea și ierburi aromatice, murături, sos muștar. Pentru partea casei se procesează separat.","Lapte, muștar","-"
"Sosuri","Mujdei țigănesc","50 g","5","Usturoi, roșii, ardei copt, ardei iute copt, ulei, sare, pătrunjel.","Fără alergeni","145 kcal | G 12 | AGS 1,7 | C 8 | Z 4,5 | P 1,8 | S 1,1"
"Sosuri","Calipso","50 g","5","Maioneză, ketchup, coniac, sare, piper.","Ouă, muștar","430 kcal | G 40 | AGS 4 | C 15 | Z 12 | P 2 | S 1,8"
"Sosuri","Sos jalapeños","50 g","5","Jalapeños, maioneză, smântână.","Lapte, ouă, muștar","360 kcal | G 34 | AGS 5 | C 8 | Z 3 | P 2 | S 1,5"
"Sosuri","Sos Coco Jar","50 g","5","Maioneză, ketchup, sare, piper.","Ouă, muștar","410 kcal | G 38 | AGS 4 | C 12 | Z 9 | P 2 | S 1,7"
"Sosuri","Sos aioli","50 g","5","Maioneză, usturoi, lămâie.","Ouă, muștar","520 kcal | G 55 | AGS 6 | C 2 | Z 1 | P 1,5 | S 1,2"
"Sosuri","Sos ketchup","50 g","5","Roșii, zahăr, oțet, sare.","Fără alergeni","112 kcal | G 0,2 | AGS 0 | C 26 | Z 22 | P 1,3 | S 1,8"
"Sosuri","Sos muștar","50 g","5","Muștar, oțet, apă.","Muștar","145 kcal | G 8 | AGS 0,6 | C 9 | Z 5 | P 6 | S 4,8"
"Sosuri","Sweet chilli","50 g","5","Chilli, zahăr, oțet, amidon.","Fără alergeni","240 kcal | G 0 | AGS 0 | C 58 | Z 52 | P 0,5 | S 2"
"Sosuri","Smântână","50 g","5","Smântână.","Lapte",""
"Sosuri","Telemea","50 g","8","Brânză telemea.","Lapte",""
"Sosuri","Parmezan","50 g","8","Brânză parmezan.","Lapte",""
"Sosuri","Ardei iute","1 buc","2","Ardei iute.","Fără alergeni",""
"Garnituri","Cartofi prăjiți","200 g","14","Cartofi, sare.","Fără alergeni","227 kcal | G 11 | AGS 1,5 | C 30 | Z 0,5 | P 3 | S 0,9"
"Garnituri","Cartofi prăjiți cu mozzarella","200 g","18","Cartofi, mozzarella, sare.","Lapte","268 kcal | G 15 | AGS 6 | C 29 | Z 1 | P 8 | S 1,2"
"Garnituri","Piure","200 g","16","Cartofi, unt, lapte, sare.","Lapte","112 kcal | G 4 | AGS 2,5 | C 18 | Z 2 | P 3 | S 0,8"
"Garnituri","Orez cu legume","200 g","19","Orez basmati, ardei capia, ceapă, morcov, dovlecel, ciuperci, mazăre, pătrunjel.","Fără alergeni","124 kcal | G 2 | AGS 0,3 | C 24 | Z 3 | P 3 | S 0,6"
"Garnituri","Piure","200 g","16","Cartofi, unt, lapte, sare.","Lapte","112 kcal | G 4 | AGS 2,5 | C 18 | Z 2 | P 3 | S 0,8"
"Garnituri","Orez basmati","200 g","15","Orez basmati, unt, sare.","Lapte","148 kcal | G 2 | AGS 1,2 | C 30 | Z 0 | P 3 | S 0,7"
"Garnituri","Mălai","200 g","10","Mălai, ulei, sare.","Fără alergeni","86 kcal | G 1 | AGS 0,2 | C 18 | Z 0 | P 2 | S 0,7"
"Garnituri","Cartofi la cuptor cu rozmarin","200 g","18","Cartofi, rozmarin, ulei de măsline, sare, piper, boia dulce, usturoi, vin.","Sulfiți (vin)","165 kcal | G 7 | AGS 2,5 | C 28 | Z 1 | P 3 | S 0,8"
"Garnituri","Legume grill","200 g","19","Ardei capia, ceapă roșie, dovlecel, vânătă, ciuperci, roșii, sare, piper, oțet balsamic, pătrunjel.","Sulfiți (oțet balsamic)","72 kcal | G 2 | AGS 0,3 | C 10 | Z 5 | P 2 | S 0,5"
"Garnituri","Sparanghel","200 g","24","Sparanghel, usturoi, oțet balsamic, sare, piper.","Sulfiți (oțet balsamic)","—"
"Garnituri","Cartofi prăjiți cu usturoi și parmezan","200 g","20","Cartofi, usturoi, parmezan, pătrunjel, sare.","Lapte","258 kcal | G 14 | AGS 4,5 | C 31 | Z 1 | P 5 | S 1,1"
"Garnituri","Cartofi prăjiți cu telemea și ierburi aromatice","200 g","18","Cartofi, telemea, sare, ierburi aromatice.","Lapte","273 kcal | G 16 | AGS 7 | C 28 | Z 1 | P 8 | S 1,3"
"Deserturi","Tiramisu","160 g","25","Pișcoturi, ou, frișcă vegetală, mascarpone, zahăr, arome, cacao, lichior de migdale.","Gluten, ouă, lapte","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Clătite cu ciocolată","150 g","22","Ou, făină, lapte, zahăr, arome, ciocolată.","Gluten, ouă, lapte","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Clătite cu miere și nuci","150 g","27","Ou, făină, lapte, miere, nuci, zahăr.","Gluten, ouă, lapte, nuci","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Clătite cu dulceață","150 g","21","Ou, făină, lapte, dulceață, zahăr, arome.","Gluten, ouă, lapte","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Papanași cu ciocolată","250 g","30","Făină, ou, brânză dulce de vaci, zahăr, bicarbonat, arome, ciocolată.","Gluten, ouă, lapte","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Papanași cu dulceață","250 g","30","Făină, ou, brânză dulce de vaci, zahăr, bicarbonat, dulceață, smântână.","Gluten, ouă, lapte","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Papanași cu nuci și miere","250 g","33","Făină, ou, brânză dulce de vaci, zahăr, bicarbonat, smântână, miere, nuci.","Gluten, ouă, lapte, nuci","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Lava cake","150 g","28","Ciocolată, unt, ou, făină, zahăr, înghețată de vanilie.","Gluten, ouă, lapte","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Deserturi","Profiterol","200 g","32","Înghețată, aluat choux, frișcă, sos de ciocolată.","Gluten, ouă, lapte","320 kcal | G 15 | AGS 8 | C 38 | Z 24 | P 7 | S 0,4"
"Bauturi","Espresso","30 ml","10","","",""
"Bauturi","Espresso dublu","60 ml","15","","",""
"Bauturi","Espresso lung","60 ml","10","","",""
"Bauturi","Espresso cu lapte","120 ml","12","","",""
"Bauturi","Cappuccino","180 ml","14","","",""
"Bauturi","Caffe latte","250 ml","17","","",""
"Bauturi","Irish coffee","200 ml","20","","",""
"Bauturi","Irish lady","200 ml","20","","",""
"Bauturi","Cappuccino vienez","200 ml","15","","",""
"Bauturi","Freddo coffee","250 ml","18","","",""
"Bauturi","Cafea fără cofeină","30 ml","12","","",""
"Bauturi","Cafea fără cofeină cu lapte","120 ml","15","","",""
"Bauturi","Frappe","300 ml","24","","",""
"Bauturi","Ciocolată caldă","250 ml","18","","",""
"Bauturi","Ceai - diverse arome","250 ml","15","","",""
"Bauturi","Limonadă clasică","500 ml","21","","",""
"Bauturi","Limonadă mentă și ghimbir","500 ml","22","","",""
"Bauturi","Limonadă fructul pasiunii","500 ml","25","","",""
"Bauturi","Limonadă căpșuni","500 ml","25","","",""
"Bauturi","Fresh de portocale","300 ml","21","","",""
"Bauturi","Cappy Portocale","0,25 L","13","","",""
"Bauturi","Cappy Piersică","0,25 L","13","","",""
"Bauturi","Fuze Tea Piersică","0,25 L","13","","",""
"Bauturi","Fuze Tea Lămâie","0,25 L","13","","",""
"Bauturi","Fuze Tea Lemongrass","0,25 L","13","","",""
"Bauturi","Coca-Cola","0,25 L","12","","",""
"Bauturi","Coca-Cola Zero","0,25 L","12","","",""
"Bauturi","Fanta","0,25 L","12","","",""
"Bauturi","Sprite","0,25 L","12","","",""
"Bauturi","Kinley / Schweppes","0,25 L","12","","",""
"Bauturi","Schweppes Bitter Lemon","0,25 L","12","","",""
"Bauturi","Schweppes Mandarin","0,25 L","12","","",""
"Bauturi","Figa","0,25 L","20","","",""
"Bauturi","Burn","0,25 L","16","","",""
"Bauturi","Cooler","0,330 L","12","lemongrass, mure, grapefruit","",""
"Bauturi","Ursus Premium","0,500 L","11","","",""
"Bauturi","Ursus Black","0,330 L","14","","",""
"Bauturi","Ursus IPA","0,330 L","14","","",""
"Bauturi","Ursus Retro / Remix","0,330 L","14","","",""
"Bauturi","Kozel Lager","0,500 L","14","","",""
"Bauturi","Peroni Nastro Azzurro","0,500 L","14","","",""
"Bauturi","Peroni Stile Capri","0,330 L","16","","",""
"Bauturi","Azuga nefiltrată","0,500 L","22","","",""
"Bauturi","Azuga nepasteurizată","0,500 L","22","","",""
"Bauturi","Apă plată Perla","0,33 L","11","","",""
"Bauturi","Apă minerală Perla","0,33 L","11","","",""
"Bauturi","Apă plată Perla","0,75 L","17","","",""
"Bauturi","Apă minerală Perla","0,75 L","17","","",""
"Bauturi","Ursus Premium Draught","0,400 L","11","","",""
"Bauturi","Ursus Premium 0.0","0,500 L","11","","",""
"Bauturi","Peroni Nastro Azzurro 0.0","0,330 L","14","","",""
"Tării, vinuri și cocktailuri","Jack Daniel’s","40 ml","22","","",""
"Tării, vinuri și cocktailuri","Chivas Regal","40 ml","28","","",""
"Tării, vinuri și cocktailuri","Johnnie Walker Red Label","40 ml","20","","",""
"Tării, vinuri și cocktailuri","Johnnie Walker Black Label","40 ml","25","","",""
"Tării, vinuri și cocktailuri","Jameson","40 ml","20","","",""
"Tării, vinuri și cocktailuri","Captain Morgan Gold / White","40 ml","18","","",""
"Tării, vinuri și cocktailuri","Bumbu","40 ml","28","","",""
"Tării, vinuri și cocktailuri","Brâncoveanu VS","40 ml","20","","",""
"Tării, vinuri și cocktailuri","Courvoisier","40 ml","32","","",""
"Tării, vinuri și cocktailuri","Tanqueray","40 ml","18","","",""
"Tării, vinuri și cocktailuri","Gordon’s Dry Gin","40 ml","18","","",""
"Tării, vinuri și cocktailuri","Bombay Sapphire","40 ml","24","","",""
"Tării, vinuri și cocktailuri","Campari / Aperol / Cinzano Rosso","40 ml","18","","",""
"Tării, vinuri și cocktailuri","Baileys","40 ml","20","","",""
"Tării, vinuri și cocktailuri","Absolut","40 ml","18","","",""
"Tării, vinuri și cocktailuri","Beluga","40 ml","35","","",""
"Tării, vinuri și cocktailuri","Jose Cuervo Gold","40 ml","20","","",""
"Tării, vinuri și cocktailuri","Limoncello / Jägermeister","40 ml","18","","",""
"Tării, vinuri și cocktailuri","Cuba Libre","250 ml","29","","",""
